date,maximum_atmospheric_pressure,minimum_atmospheric_pressure,precipitation,maximum_air_temperature,minimum_air_temperature,maximum_relative_humidity,minimum_relative_humidity,total_solar_radiation,maximum_temperature,minimum_temperature,average_air_temperature,average_relative_humidity,wind_speed,total_solar_radiation.1
2017-03-26,613.9483608695652,599.7912260869565,0.022086956521739132,27.33852173913043,25.934565217391306,86.14978260869565,79.8575652173913,2090.450913043478,23.831372173913046,22.731182173913044,26.633554782608698,82.96889173913043,1.116476317826087,5.806807869565217
2017-03-27,611.0061875,599.8242166666666,0.010583333333333333,26.925083333333333,25.76216666666667,88.74758333333334,83.80154166666667,1880.376375,24.092325833333334,23.230584166666663,26.30849875,86.273835,0.7431104494583334,5.2232674999999995
2017-03-28,611.6267416666666,599.8239625,0.0,27.617416666666667,26.217083333333335,85.50266666666666,79.57120833333333,1948.7763333333332,23.956081666666666,22.900505,26.888230000000004,82.81150583333333,0.7666666399166666,5.413267625
2017-03-29,609.9683416666667,599.8262583333334,0.0,26.957624999999997,25.520083333333332,87.476875,81.54091666666666,1919.9482083333332,23.686404166666666,22.525287916666667,26.193725833333332,84.63729083333332,0.65565088125,5.333189166666666
2017-03-30,609.25495,599.7808625,0.7090829166666667,26.197083333333335,24.988708333333335,94.97745833333333,89.625625,1776.5379166666664,24.627017499999997,23.762996666666666,25.585552083333337,92.48431916666668,0.6488426545833333,4.934827666666666
2017-03-31,607.6413041666666,599.9123666666667,2.751665875,26.26025,24.604791666666667,95.12558333333334,89.52291666666667,1807.8585833333334,24.46454125,23.430766666666667,25.424520833333332,92.26576833333333,0.44043403216666666,5.021829291666667
2017-04-01,610.2876958333333,599.7971249999999,0.32808333333333334,26.285124999999997,25.077375,90.675875,85.28129166666666,1844.6904166666666,23.886962083333334,22.83041916666667,25.653818333333334,88.24172750000001,0.7009431958333333,5.12413975
2017-04-02,611.1528375,599.8393583333333,0.0,26.29070833333333,24.807875,91.86575,85.49258333333334,1903.9273333333333,23.89498,22.910124166666666,25.43154375,89.02084916666666,0.367592613625,5.288686875
2017-04-03,611.4489291666667,599.81215,0.0,27.247791666666668,25.755666666666666,88.36358333333334,82.11220833333333,1966.1282083333333,24.132004166666665,23.09567875,26.458255416666663,85.36652875,0.6709605929166668,5.461467291666666
2017-04-04,614.1258583333333,599.8111208333333,0.0,27.757166666666667,26.354125,83.67620833333334,76.98066666666666,2110.7114166666665,23.62105791666667,22.454523750000003,27.06057125,80.35919958333334,0.621397516375,5.8630872499999995
